date,mean_21_before,value,mean_21_after
2024-09-18,11789.411764705883,15000.0,11533.333333333334
2024-09-25,11636.190476190477,15500.0,11610.47619047619
2024-10-02,11811.42857142857,15000.0,11548.57142857143
2024-10-23,11548.57142857143,15000.0,12018.095238095239
2024-10-30,11681.904761904761,15500.0,12008.57142857143
2024-11-06,11890.47619047619,15000.0,11954.285714285714
2024-11-13,11970.47619047619,16000.0,12197.142857142857
2024-11-20,11937.142857142857,17000.0,12275.238095238095
2024-11-27,11835.238095238095,17500.0,12266.666666666666
2024-12-04,12101.904761904761,18000.0,11713.333333333334
2024-12-11,12275.238095238095,17000.0,11200.952380952382
2025-01-15,11122.857142857143,15000.0,12142.857142857143
2025-01-22,11483.809523809523,15000.0,11871.42857142857
2025-02-18,11287.619047619048,7340.0,10398.095238095239
2025-02-20,11084.761904761905,7740.0,10576.190476190477
2025-02-21,10839.047619047618,7780.0,10736.190476190477
2025-03-01,10423.809523809523,7780.0,10529.52380952381
2025-03-03,10103.809523809523,8140.0,10561.904761904761
2025-03-21,10660.952380952382,8040.0,11127.619047619048
2025-03-24,10569.52380952381,7980.0,11362.857142857143
2025-03-27,10653.333333333334,7880.0,11563.809523809523
2025-04-02,10577.142857142857,14500.0,11196.190476190477
